-----------------------
  t/c    Airfoil       
-----------------------
 1.000   Cylinder                        
 0.333   Section03                       
 0.243   Section05                       
 0.197   Section08                       
 0.187   Section10                       
-----------------------
 
 
Cylinder                        Re: 10.00E+06
-----------------------------------
  alfa      cl       cd       cm   
 -62.50  -0.8191   1.0228   0.2218
 -60.00  -0.8660   0.9750   0.2165
 -57.50  -0.9063   0.9247   0.2109
 -55.00  -0.9397   0.8723   0.2048
 -52.50  -0.9659   0.8182   0.1983
 -50.00  -0.9848   0.7629   0.1915
 -47.50  -0.9970   0.7064   0.1844
 -45.00  -1.0000   0.6500   0.1768
 -42.50  -0.9866   0.5958   0.1605
 -40.00  -0.9716   0.5422   0.1416
 -37.50  -0.9461   0.4883   0.1240
 -35.00  -0.9331   0.4344   0.1065
 -32.50  -0.9269   0.3689   0.0676
 -30.00  -0.9178   0.2927   0.0327
 -29.00  -0.9133   0.2695   0.0267
 -28.00  -0.9091   0.2488   0.0208
 -27.00  -0.9056   0.2311   0.0155
 -26.00  -0.9024   0.2145   0.0102
 -25.00  -0.8990   0.1970   0.0049
 -24.00  -0.8956   0.1801  -0.0004
 -23.00  -0.8895   0.1650  -0.0047
 -22.00  -0.8841   0.1513  -0.0089
 -21.00  -0.8829   0.1387  -0.0132
 -20.00  -0.8826   0.1274  -0.0174
 -19.00  -0.8798   0.1179  -0.0203
 -18.00  -0.8778   0.1085  -0.0229
 -17.00  -0.8801   0.0991  -0.0259
 -16.00  -0.8831   0.0896  -0.0285
 -15.00  -0.8812   0.0798  -0.0300
 -14.50  -0.8809   0.0748  -0.0303
 -14.00  -0.8842   0.0698  -0.0300
 -13.50  -0.8937   0.0652  -0.0240
 -13.00  -0.9076   0.0608  -0.0151
 -12.50  -0.9210   0.0560  -0.0061
 -12.00  -0.9293   0.0500   0.0000
 -11.50  -0.9328   0.0418   0.0002
 -11.00  -0.9337   0.0321   0.0001
 -10.50  -0.9292   0.0228  -0.0000
 -10.00  -0.9165   0.0159   0.0000
  -9.50  -0.8697   0.0137   0.0000
  -9.00  -0.8112   0.0126   0.0000
  -8.50  -0.7500   0.0115   0.0000
  -8.00  -0.6881   0.0105   0.0000
  -7.50  -0.6234   0.0096   0.0000
  -7.00  -0.5564   0.0089   0.0000
  -6.50  -0.4885   0.0083   0.0000
  -6.00  -0.4204   0.0078   0.0000
  -5.50  -0.3518   0.0075   0.0000
  -5.00  -0.2823   0.0073   0.0000
  -4.50  -0.2126   0.0071   0.0000
  -4.00  -0.1431   0.0070   0.0000
  -3.50  -0.0739   0.0068   0.0000
  -3.00  -0.0047   0.0067   0.0000
  -2.50   0.0645   0.0067   0.0000
  -2.00   0.1336   0.0066   0.0000
  -1.50   0.2026   0.0066   0.0000
  -1.00   0.2715   0.0066   0.0000
  -0.50   0.3403   0.0066   0.0000
   0.00   0.4088   0.0067   0.0000
   0.50   0.4771   0.0068   0.0000
   1.00   0.5451   0.0069   0.0000
   1.50   0.6128   0.0070   0.0000
   2.00   0.6799   0.0072   0.0000
   2.50   0.7463   0.0073   0.0000
   3.00   0.8122   0.0074   0.0000
   3.50   0.8776   0.0075   0.0000
   4.00   0.9428   0.0077   0.0000
   4.50   1.0077   0.0080   0.0000
   5.00   1.0724   0.0083   0.0000
   5.50   1.1365   0.0087   0.0000
   6.00   1.1998   0.0091   0.0000
   6.50   1.2589   0.0096   0.0000
   7.00   1.3160   0.0101   0.0000
   7.50   1.3695   0.0107   0.0000
   8.00   1.4174   0.0114   0.0000
   8.50   1.4487   0.0153  -0.0000
   9.00   1.4714   0.0195  -0.0001
   9.50   1.4808   0.0237  -0.0001
  10.00   1.4718   0.0280  -0.0002
  10.50   1.4319   0.0324  -0.0003
  11.00   1.3674   0.0368  -0.0004
  11.50   1.3020   0.0413  -0.0005
  12.00   1.2594   0.0455  -0.0006
  12.50   1.2628   0.0490  -0.0007
  13.00   1.2698   0.0522  -0.0009
  13.50   1.2770   0.0557  -0.0011
  14.00   1.2843   0.0601  -0.0013
  14.50   1.2916   0.0659  -0.0015
  15.00   1.2993   0.0724  -0.0018
  15.50   1.3078   0.0797  -0.0020
  16.00   1.3174   0.0873  -0.0023
  16.50   1.3328   0.0954  -0.0025
  17.00   1.3509   0.1039  -0.0026
  17.50   1.3705   0.1129  -0.0028
  18.00   1.3907   0.1223  -0.0035
  18.50   1.4125   0.1319  -0.0400
  19.00   1.4360   0.1420  -0.0932
  19.50   1.4590   0.1524  -0.1468
  20.00   1.4794   0.1632  -0.1845
  20.50   1.4965   0.1742  -0.1995
  21.00   1.5115   0.1855  -0.2014
  21.50   1.5251   0.1974  -0.1982
  22.00   1.5380   0.2101  -0.1977
  22.50   1.5504   0.2244  -0.2014
  23.00   1.5621   0.2400  -0.2054
  23.50   1.5725   0.2556  -0.2094
  24.00   1.5811   0.2701  -0.2133
  24.50   1.5877   0.2829  -0.2172
  25.00   1.5925   0.2945  -0.2210
  26.00   1.5994   0.3195  -0.2287
  27.00   1.6041   0.3513  -0.2361
  28.00   1.6059   0.3842  -0.2434
  29.00   1.6044   0.4138  -0.2505
  30.00   1.6006   0.4427  -0.2573
  31.00   1.5957   0.4727  -0.2640
  32.00   1.5892   0.5025  -0.2701
  33.00   1.5780   0.5303  -0.1746
  34.00   1.5723   0.5551  -0.1799
  35.00   1.5548   0.5790  -0.1851
  36.00   1.5474   0.6020  -0.1900
  37.00   1.5393   0.6243  -0.1945
  38.00   1.5198   0.6458  -0.1988
  39.00   1.4998   0.6665  -0.2030
  40.00   1.4686   0.6865  -0.2070
  42.50   1.4139   0.7323  -0.2157
  45.00   1.3531   0.7768  -0.2241
  47.50   1.2644   0.8028  -0.2096
